textos;administracion
 cáncer colorrectal (cr con deficiencia del sistema de reparación de apareamientos erróneos (dmmr, por sus siglas en inglé o inestabilidad de micr osatélites alta (msi -h, por sus siglas en inglé opdivo en combinación con ipilimumab está indicado para el tratamiento de pacientes adultos con cáncer colorrectal metastásico con deficiencia del sistema de reparación de apareamientos erróneos o inestabil idad de microsatélites alta después de quimioterapia de combinación previa basada en fluoropirimidina;2
 cáncer colorrectal (crc ) con deficiencia del sistema de reparación de apareamientos erróneos (dmmr, por sus siglas en inglé o inestabilidad de microsatélites alta (msi -h, por sus siglas en inglé opdivo en combinación con ipilimumab está indicado para el tratamiento de pacientes adultos con cáncer colorrectal metastásico con deficiencia del sistema de reparación de apareamientos erróneos  o inestabilidad de microsatélites alta después de quimioterapia de combinación previa basada en fluoropirimidina;2
 cáncer de células escamosas de cabeza y cuello (ccec opdivo en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de células escamosas de cabeza y cuello recurrente o metastásico que progresa durante o después de un tratamiento basado en platino;2
 tratamiento adyuvante del cáncer de esófago o de la unión gastroesofágica (ce o cug opdivo en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de esófago o de la unión gastroesofágica con enfermedad patológica residual tras quimiorradioterapia neoadyuvante previa;2
 cáncer de pulmón no m icrocítico (cpn opdivo en combinación con ipilimumab y 2 ciclos de quimioterapia basada en platino está indicado para el tratamiento de primera línea del cáncer de pulmón no microcítico metastásico en adultos cuyos tumores no tengan mutación sensibilizan te de egfr o la translocación alk;1
 linfoma de hodgkin clásico (lh opdivo en monoterapia está indicado para el tratamiento d e pacientes adultos con linfoma de hodgkin clásico en recaída o refractario después de un trasplante autólogo de progenitores hematopoyéticos (tap y de tratamiento con brentuximab vedotina;2
 melanoma opdivo en monoterapia o en combinación con ipilimumab está indicado para el tratamiento del melanoma avanzado (irresecable o metastásic en adultos y adolescentes a partir de 12 años;0
 en comparación con nivolumab en monoterapia se ha establecido un aumento de la supervivencia libre de progresión (sl y supervivencia global (s para la combinación de nivolumab con ipilimumab, solamente en los pacientes con baja expresión de pd -l1 en el tumor  tratamiento adyuvante del melanoma opdivo en monoterapia está indicado para el tratamiento adyuvante en adultos y adolescentes a partir de 12 años con melanoma en estadio iib o iic o melanoma con afectación de los ganglios linfáticos o enfermedad metastásica que hayan sido sometidos a resección completa;2
 mesotelioma pleural maligno (mp opdivo en combinación con ipilimumab está indicado para el tratamiento de primera línea de pacientes adultos con mesoteli oma pleural maligno irresecable;1
  tratamiento neoadyuvante del cpnm opdivo en combinación con quimioterapia basada en platino está indicado para el tratamiento neoadyuvante del cáncer de pulmón no microcítico resecable con alto riesgo de recurrencia en pacientes adultos cuyos tumores tengan una expresión de pd -l1 ≥ 1%  mesotelioma pleura l maligno (mp opdivo en combinación con ipilimumab está indicado para el tratamiento de primera línea de pacientes adultos con mesotelioma pleural maligno irresecable;4
 opdualag está indicado para el tratamiento de primera línea del melanoma avanzado (irresecable o metastásic en adultos y adolescentes a partir de 12 años de edad con expresión de pd -l1 < 1% en las células tumorales;1
 orgovyx está indicado para el tratamiento de pacientes adultos con cáncer de próstata hormonosensible avanzado;0
 padcev en monoterapia está indicado para el tratamiento de pacientes adultos con carcinoma urotelial localmente avanzado o metastásico que hayan recibido previamente una quimioterapia basada en platino y un inhibidor del receptor de muerte celular programada 1 o del ligando de muerte celular programada 1 ;2
 - pemetrexed en monoterapia está indicado co mo tratamiento de mantenimiento de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico , salvo aquéllos que tengan histología predominantemente de célula escamosa, cuya enfermedad no ha progresado inmediatamente después de un rég imen quimioterápico basado en un platino  pemetrexed en monoterapia está indicado para el tratamiento en segunda línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan histología predominantement e de célula escamosa;2
 - mesotelioma pleural maligno pemetrexed en combinación con cisplatino, está indicado para el tratamiento de pacientes con mesotelioma pleural maligno no resecable que no han recibido quimioterapia previamente  cáncer de pulmón no microcítico pemetrexed en combinación con cisplatino, e stá indicado para el tratamiento en primera línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan una histología predominantemente de célula escamosa;1
 pepaxti está indicado, en combinación con dexametasona, en el tratamiento de pacientes adultos con mieloma múltiple que han recibido al menos dos líneas de tratamientos anteriores, cuya enfermedad sea resistente a lenalidomida y a la última línea de tratamiento.  en el caso de los pacientes con un trasplante autólogo de células madre, el tiempo transcurrido hasta la progresión deberá ser de al menos 3 años desde el trasplante;3
 cáncer de mama precoz (cm phesgo está indicadoen combinación con quimioterapia en: ;0
 pluvicto en combinación con terapia de deprivación androgénica (td con o sin inhibidores de la vía del receptor androgénico (r está indicado para el tratamiento de pacientes adultos con cáncer de próstata metastásico progresivo resistente a la castración positivo al antígeno de membrana específico de l a próstata (psm que han recibido tratamiento con inhibidores de la vía del ra y quimioterapia con taxanos;2
 polivy en combinación con rituximab, ciclofosfamida, doxor ubicina, y prednisona (r -ch está indicado para el tratamiento de pacientes adultos con lifoma b difuso de células grandes (lbdc que no han recibido tratamiento previo;1
 polivy en combinación con bendamustina y rituximab está indicado para el tratamiento de pacientes adultos con linfoma b difuso de células grandes (lbdc en recaída o /refractario que no sean candidatos a un trasplante de células madre hematopoyéticas ;5
 este medicamento es únicamente para uso diagnóstico.  pylclari está indicado para la detección de lesiones que expresan el antígeno prostático específico de membrana (psm mediante tomografía por emisión de positrones (pe en adultos con cáncer de prósta ta (ca en los siguientes escenarios clínicos: ;0
 qinlock® está indicado para el tratamiento de pacientes adultos con tumor avanzado del estroma gastrointestinal (gis que han recibido tratamiento previo con tres o más inhibidores de quinasa, como imatinib;3
  este medicamento es únicamente para uso diagnóstico.  radelumin está indicado para la detección de lesiones positivas al antígeno prostático específico de membrana (psm mediante tomografía por emisión de positrones (pe en adultos con cáncer de próstata (ca en los siguientes escenarios clínicos:  estadificación inicial de pacientes con cap de alto riesgo antes de la tera pia curativa inicial.   sospecha de recidiva de cap en pacientes con niveles crecientes de antígeno prostático específico (ps en suero después de la terapia curativa inicial;2
 retsevmo en monoterapia está indicado para el tratamiento de adultos con:   cáncer de pulmón no microcítico (cpn avanzado, con fusión del gen ret positiva no tratados previamente con un inhibidor ret ;1
 retsevmo en monoterapia está indicado para el tratamiento de adultos con:   cáncer de tiroides avanzado con fusión del gen ret positiva que requiere tratamiento sistémico tras tratamiento previo con sorafenib y/o lenvatinib retsevmo en monoterapia está indicado para el tratamiento de adultos y adolescentes de 12 años o más con cáncer medular de tiroides (cm avanzado con mutación del gen ret;2
 rozlytrek en monoterapia está indicado pa ra el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn ros1 -positivo avanzado no tratados previamente con inhibidores de ros1;1
 rozlytrek en monoterapia está indicado para el tratamiento de pacient es adultos y pediátricos de 12 años de edad y mayores, con tumores sólidos expresando una fusión del gen receptor de tirosina quinasa neurotrófico (ntr , - quien es tienen una enfermedad localmente avanzada, metastás ica o donde es probable que una resección quirúrgica provoque una morbilidad severa, y - que no han recibido previamente un inhibidor de ntrk - quienes no tienen opcion es terapéuticas satisfactorias rozlytrek en monoterapia está indicado para el tratamiento de paciente s adultos con cáncer de pulmón no microcítico (cpn ros1 -positivo avanzado no tratados previamente con inhibidores de ros1;1
 rozlytrek en monoterapia está indicado para el tratamiento de pacientes adultos y pediátricos de 12 años de edad y mayores, con tumores sólidos expresando una fusión del gen receptor de tirosina quinasa neurotrófico (ntr , ;0
 rybrevant en monoterapia está indicado para el tra tamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado con mutaciones activadoras de inserción en el exón 20 del receptor del factor de crecimiento epidérmico (egf , tras el fracaso de un tratamiento de terapia basada en platino ;2
 scemblix está indicadoen el tratamiento de pacientes adultos con leucemia mieloide crónica en fase crónica con cromosoma filadelfia positivo (lmc -fc ph+) previamente tratado con dos o más inhibidores de la tirosina cinasa;3
 spectrila está ind icado como componente de un tratamiento antineoplásico combinado para el tratamiento de la leucemia linfoblástica aguda (ll en pacientes pediátricos desde el nacimiento hasta los 18 años y en adultos ;0
 tabrecta en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado que pres entan alteraciones que producen una omisión del exón 14 del gen del factor de transición mesenquimal -epitelial (metex1 , que requieren un tratamiento sistémico tras tratamiento previo con inmunoterapia y/o quimioterapia basada en platino;2
 dabrafenib en monoterapia o en combinación con trametinib está indicado para el tratamiento de pacientes adultos con melanoma no resecable o metastásico con mutación braf v600;0
 en monoterapia para el tratamiento de pacientes adultos con cpnm localmente avanzado o metastásico con mutación positiva del egfr t790m;0
 en monoterapia para el tratamiento de primera línea de pacientes adultos con cáncer de pulmón no microcítico (cpn localmente avanzado o metastásico con mutaciones activadoras del receptor del factor de crecimiento epidérmico (egf ;1
 en monoterapia para el tratamiento adyuvante de pacientes adultos con cáncer de pulmón no microcítico (cpn estadios ib-iiia tras la resección completa del tumor que presenta mutaciones activadoras del receptor del factor de crecimiento epidérmico (egf (deleción del exón 19 o sustitución del exón 21 (l858 );2
 talidomida en combinación con melfalán y prednisona está indicado como tratamiento de primera línea de pacientes con mieloma múltiple no tratado, de edad ≥ 65 años o no aptos para recibir quimioterapia a altas dosis ;1
 talvey está indicadoen monoterapia para el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario, que han recibido al menos 3 tratamientos previos, incluyendo un agente inmunomodulador, un inhi bidor del proteasoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento ;3
 cáncer de mama talzenna está indicadoen monoterapia para el tratamiento de pacientes adultos con mutaciones brca 1/2 (por sus siglas en inglé germinales con cáncer de mama localmente avanzado o metastásico her2 (por sus siglas en inglé negativo.  los pacientes deben haber sido tratados previamente con una antraciclina y/o un taxano, en (ne adyuvancia, enfermedad localmente avanzada o metastási ca, a no ser que los pacientes no fueran candidatos para estos tratamientos .  los pacientes con cáncer de mama con receptor hormonal (r positivo deben haber recibido tratamiento hormonal previo o ser considerados no adecuados para el tratamiento hormonal;2
" cáncer de próstata 
talzenna está indicadoen combinación con enzalutamida para el tratamiento de pacientes adultos con cáncer de próstata metastásico resistente a la castración (cprc en los que la quimioterapia no está clínicamente indicada";5
 linfoma de células del manto tecartus está indicado para el tratamiento de pacientes adultos con linfoma de células del manto (lc refractario o en recaída después de dos o más líneas de tratamiento sistémico, incluido un inhibidor de la tirosina -quinasa de bruton (btk, por sus siglas en inglé .  leucemia linfoblástica aguda tecartus está indicado para el tratamiento de pacientes adultos de 26 años de edad y mayores con leucemia linfoblástica aguda (ll de precursores de células b refractaria o en recaída;3
 carcinoma urotelial (c tecentriq en monoterapia está indicado para el tratamiento de pacientes adultos con cu localmente avanzado o metastásico:   en los que no son considerados aptos para el tratamiento con cisplatino y cuyos tumores tengan una expresión de pdl1 > 5%;2
 estadio temprano de cáncer de pulmón no microcítico (cpn tecentriq en monoterapia está indicado como tratamiento adyuvante tras resección completa y quimioterapia basada en platino para pacientes adu ltos con cpnm con alto riesgo de recidiva, cuyos tumores expresen pd -l1 ≥ 50% en células tumorales (c que no presentan mutaciones de egfr o alk positivo  cpnm metastásico tecentriq, en combinación con bevacizumab, paclitaxel y carboplatino, está in dicado para el tratamiento de primera línea de cpnm no escamoso metastásico en pacientes adultos;1
 tecentriq, en combinación con nab -paclitaxel y carboplatino, está indicado para el tratamiento de primera línea de cpnm no escamoso metastásico en pacientes adultos que no presentan mutaciones de egfr o reordenamiento alk;1
 cáncer de mama triple negativo (cmt tecentriq en combinación con nab -paclitaxel está indicado para el tratam iento de pacientes adultos con cmtn localmente avanzado irresecable o metastásico cuyos tumores tengan una expresión de pd-l1 ≥ 1% y que no hayan recibido quimioterapia previa frente a la metástasis;1
 cáncer de mama triple negativo (cmt tecentriq en combinación con nab -paclitaxel está indicado para el tratamiento de pacientes adultos con cmtn localmente avanzado irresecable o metastásico cuyos t umores tengan una expresión de pd-l1 ≥ 1% y que no hayan recibido quimioterapia previa frente a la metástasis  carcinoma hepatocelular (ch tecentriq, en combinación con bevacizumab, está indicado para el tratamiento de pacientes adultos con chc avanzado o irresecable que no ha recibido terapia sistémica previa;1
" 
cáncer de pulmón microcítico (cp tecentriq, en combinación con carboplatino y etopósido, está indicado para el tratamiento de primera línea de cáncer de pulmón microcítico en estadio extendido (cpm -e en pacientes adultos";1
 estadio temprano de cáncer de pulmón no microcitico (cpn tecentriq en monoterapia está indicado como tratamiento adyuvante tras resección completa y quimioterapia basada en platino para pacientes adultos con cpnm con alto riesgo de recidiva, cuyos tumores expresen pd -l1 ≥ 50% en células tumorales (c que no pre sentan mutaciones de egfr o alk positivo  cpnm metastásico tecentriq, en combinación con bevacizumab, paclitaxel y carboplatino, está indicado para el tratamiento de primera línea de cpnm no escamoso metastásico en pacientes adultos;1
 en pacientes con mutaciones de egfr o alk positivo, tecentriq en combinación con bevacizumab, paclitaxel y carboplatino está indicado solamente tras fallo de las terapias dirigidas;3
 tecentriq en monoterapia está indicado para el tratamiento en primera línea de pacientes adultos con cpnm metastásico cuyos tum ores tengan una expresión de pd -l1 ≥ 50% en ct o ≥ 10% de células inmunes infiltrantes de tumor (c y que no tengan mutaciones e gfr o reordenamiento alk  tecentriq en monoterapia está indicado para el tratamiento de pacientes adultos con cpnm localmente a vanzado o metastásico después de quimioterapia previa.  los pacientes con mutaciones  de egfr o reordenamiento alk deben haber sido tratados también con terapias dirigidas ante s de ser tratados con tecentriq;1
 tecentriq en monoterapia está indicado para el tratamiento en primera línea de pacientes adultos con cpnm metastásico cuyos tumores tengan una expresión de pd -l1 ≥ 50% en ct o ≥ 10% de células inmunes infiltrantes de tumor (c y que no tengan mutaciones egfr o reordenamiento alk  tecentriq en monoterapia está indicado para el tratamiento de pacientes adultos con cpnm localmente avanzado o metastásico después de quimioterapia previa.  los pacientes con mutaciones de egfr o reordenamiento alk deben haber sido tratados también con terapias dirigidas antes de ser tratados con tecentriq;1
 tecvayli está indicadoen monoterapia para el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario, que han recibido al menos tres tratamientos previos, incluidos un agente inmunomodulador, un inhibidor del proteasoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento;3
 tepmetko en monoterapia está indicad o para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado que presentan alteraciones que producen la omisión del exón 14 del gen del factor de transición epitelial -mesenquimal (metex1 , que requieren un tratamiento sis témico tras tratamiento previo con inmunoterapia y/o quimioterapia basada en platino;2
 intenso efecto antiinflamatorio que se administra por vía intramuscular, intraarticular e intrasinovial.  vía intramuscular en:   trastornos neoplásicos.  para el tratamiento paliativo de: leucemias y linfomas en adulto s y leucemia aguda en la infancia ;0
 trodelvy en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de mama triple negativo irresecable o metastásico (cmtn que hayan recibid o dos o más tratamientos sistémicos previos, incluido al menos uno de ellos para la enferme dad avanzada;3
 tukysa está indicadoen combinación con trastuzumab y capecitabina para el tratamiento de pacientes adultos con cáncer de mama her2 -positivo localmente avanzado o metastásico que hayan recibido por lo menos dos pautas de tratamiento anti -her2 anteriores;3
 tratamiento curativo del carcinoma in situ   tratamiento profiláctico de la recidiva de: - carcinoma urotelial limitado a la mucosa.  - ta g1 -g2 si el tumor es multifocal y/o recurrente - ta g3 - carcinoma urotelial que infiltra la lámina propia pero no la muscular de la vejiga (t - carcinoma in situ ;0
 verzenios en combinación con hormonoterapia está indicado para el tratamiento adyuvante de pacientes adultos con cáncer de mama en estadios iniciales, positivo para el receptor hormonal (h y negativo para el receptor 2 del factor de crecimiento epidérmico humano (her , con afectación ganglionar o elevado riesgo de recidiva.  en mujeres pre o perimenopáusicas, la hormonoterapia con inhibidores de la aromatasa se debe combinar con un agonista de la hormona liberadora de la hormona luteinizante (lhr ;1
 carcinoma de mama que no responde a la cirugía endocrina y al tratamiento hormonal adecuado;3
 carcinoma testicular avanzado.  ;0
 coriocarcinoma resistente a otros quimioterápicos.  ;5
 enfermedad de hodgkin generalizada (fases iii y iv, modificación de ann arbor del sistema de clasificación de ry .  ;0
 linfoma histiocítico.  ;0
 linfoma linfocítico (nodular y difuso, poco y bien diferenciad .  ;0
 micosis fungoides (fases avanzada .  ;0
 vinblastina a veces se administra en monoterapia, pero por lo general se utiliza en combinación con otros fármacos citotóxicos y / o radioterapia para los siguientes tumores malignos: i.  neoplasias que responden frecuentemente: ;0
 sarcoma de kaposi.  ;0
" vyxeos está indicado para el tratamiento en adultos de leucemia mieloide aguda relacionada con el tratamiento (lma - o lma con cambios relacionados con mielodisplasia (lma -crm , de diagnóstico reciente.  se financia en pacientes candidatos a una aproximación curativa con un trasplante de progenitores hematopoyéticos alogénico (alo -tp tras un tratamiento de quimioterapia intensiva (candidatos a quimioterapia intensiva y alo -tp : - edad >=60 años - buen estado general (ecog 0 - - disponer de potenciales donantes familiares hla idéntico o donante alternativo - que al diagnóstico inicial el paciente disponga de potenciales donantes para la recolección de progenitores hematopoyéticos, mediante la identificación de familiares hla compatibles (padre madre, hermano o un donante no emparentado o haploidéntico, incluyendo sangre de cordón umbilical, a través de los bancos de donantes nacionales/internacionales.  
- no objetivar ninguna contraindicación potencial para la realización de un alo -tph.  se excluirán aquellos pacientes con una disfunción orgánica importante reflejada mediante el índice de sorror (>=5 punto (hematopoietic cell transplantation comobidity index, hct -c ";5
 xalkori en monoterapia está indicado para:   el tratamiento de adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para ros1 ;0
 xalkori en monoterapia está indicado para:   el tratamiento de primera línea de adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para la quinasa del linfoma anaplásico (al .  ;1
 xospata está indicadoen monoterapia para el tratamiento de pacientes adultos con leucemia mieloide aguda (lm recidivante o refractaria con mutación flt3 ;5
 xtandi está indicado para:   tratamiento de hombres adultos c on cprc metastásico que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada.  ;2
 xtandi está indicado para:   tratamiento de hombres adultos con cáncer de próstata resistente a la castración (cpr no metastásico de alto riesgo.  ;0
 xtandi está indicado para:   tratamiento de hombres adultos con cáncer de próstata hormonosensible metastásico (cphs en combinación con la terapia de deprivación de andrógenos.  ;0
 carcinoma de células escamosas de esófago (cce yervoy en combinación con nivolumab está indicado para el tratamiento de primera línea de pacientes adultos con carcinoma de células escamosas de esófago irresecable avanzado, recurrente o metastásico con expresión de pd -l1 en células tumorales;1
 cáncer colorrectal (cr con deficiencia del sistema de reparación de apareamientos erróneos (dmmr, por sus siglas en inglé o inestabilidad de mi crosatélites alta (msi -h, por sus siglas en inglé yervoy en combinación con nivolumab está indicado para el tratamiento de pacientes adultos con cáncer colorrectal metastásico con deficiencia del sistema de reparación de apareamientos erróneos o inestabi lidad de microsatélites alta después de quimioterapia de combinación pre via basada en fluoropirimidina;2
 cáncer de pulmón no microcítico (cpn yervoy en combinación con nivolumab y 2 ciclos de quimioterapia basada en platino está indicad o para el tratamiento de primera línea del cáncer de pulmón no microcítico metastásico en adultos cuyos tumores no tengan mutación sensibilizante de egfr o la translocación alk;1
 melanoma  yervoy en monoterapia está indicado para el tratamiento del melanoma avanzado (irresecable o metastásic en adultos y adolescentes de 12 años y mayores;0
 mesotelioma pleural maligno (mp yervoy en combinación con nivolumab está ind icado para el tratamiento de primera línea de pacientes adultos con mesotelio ma pleural maligno irresecable;1
 en relación con nivolumab en monoterapia se ha establecido un aumento de la supervivencia libre de progresión (sl y supervivencia global (s para la combinación de nivolumab con ipilimumab, solo en los pacientes con baja e xpresión de pd -l1 en el tumor  carcinoma de células renales (cc yervoy en combinación con nivolumab está indicado para el tratamiento de primera línea de pacientes adultos con carcinoma de células renales avan zado de riesgo intermedio/alto;1
 yescarta está indicado para el tratamiento de pacientes adultos con linfoma b difuso de células grandes (lbdc refractario o en recaída y linfoma b primario mediastínico de células grandes (lbp , después de dos o más líneas de tratamiento sistémico.  yescarta está indicado para el tratamiento de pacientes adultos con linfoma b difuso de células grandes (lbdc y linfoma b de alto grado (lba refracta rio o en recaída en los 12 meses después de haber completado inmunoquimioterapia de primera línea.  yescarta está indicado para el tratamiento de pacientes adultos con linfoma folicular (l refractario o en recaída después de tres o más líneas de tratamie nto sistémico ;5
